Klaster,Kategoria,Nazwa,Lat,Lon,Odleglosc od srodka
1,parkingi - Legnica,parkingi_1064,51.206512,16.179065,63.4
1,restauracja - Legnica,Had Food,51.206687,16.178676,44.5
2,restauracja - Legnica,Lara Döner Kebab,51.209543,16.167775,132.6
2,parkingi - Legnica,parkingi_1077,51.208655,16.168777,114.9
3,parkingi - Legnica,parkingi_1017,51.207218,16.189584,35.2
3,restauracja - Legnica,Vikos,51.207595,16.19005,42.7
4,parkingi - Legnica,parkingi_286,51.197704,16.155216,25.1
4,restauracja - Legnica,Pierogeria,51.198507,16.155404,83.0
5,parkingi - Legnica,parkingi_566,51.190085,16.151799,30.9
5,restauracja - Legnica,Karczma na skarpie,51.189538,16.154354,176.7
6,parkingi - Legnica,parkingi_534,51.208187,16.161547,57.6
6,restauracja - Legnica,Cyrus Kebab,51.207895,16.161058,19.4
7,parkingi - Legnica,parkingi_783,51.206753,16.157389,36.7
7,restauracja - Legnica,Paradise Kebab,51.20706,16.157035,60.6
8,parkingi - Legnica,parkingi_149,51.204856,16.159698,21.7
8,restauracja - Legnica,Leo Kebab,51.204434,16.15986,50.5
9,parkingi - Legnica,parkingi_227,51.201067,16.21078,86.8
9,restauracja - Legnica,Pierogarnia u Reni,51.200999,16.211019,68.5
10,parkingi - Legnica,parkingi_423,51.204556,16.214356,27.7
10,restauracja - Legnica,Capri,51.205121,16.213082,92.6
11,parkingi - Legnica,parkingi_357,51.204719,16.150538,14.4
11,restauracja - Legnica,Pizzeria Caruzo,51.20432,16.150693,42.3
12,parkingi - Legnica,parkingi_332,51.207167,16.145562,141.4
12,restauracja - Legnica,PIEKIELNA BABCIA Tex-Mex Bar,51.208825,16.146878,78.2
13,parkingi - Legnica,parkingi_78,51.211266,16.162649,50.5
13,restauracja - Legnica,restauracja_37,51.212399,16.159627,199.4
14,parkingi - Legnica,parkingi_329,51.210428,16.165584,31.4
14,restauracja - Legnica,Bar orientalny Dragon.,51.210502,16.165463,23.9
15,restauracja - Legnica,Hallo Kebap,51.211699,16.175192,175.7
15,parkingi - Legnica,parkingi_521,51.209956,16.175539,22.6
16,parkingi - Legnica,parkingi_723,51.199044,16.21891,18.4
16,restauracja - Legnica,Pierogowa Sielanka z Magdą,51.199325,16.219392,46.3
17,parkingi - Legnica,parkingi_741,51.21667,16.168562,48.2
17,restauracja - Legnica,Stacja Gliwicka,51.217319,16.173377,300.5
18,parkingi - Legnica,parkingi_631,51.192717,16.129106,18.4
18,restauracja - Legnica,Bafra Kebab,51.192913,16.128966,38.2
19,parkingi - Legnica,parkingi_608,51.189793,16.184441,52.2
19,restauracja - Legnica,Pizza Drive,51.188438,16.187376,202.6
20,restauracja - Legnica,McDonald's,51.18873,16.174916,123.4
20,parkingi - Legnica,parkingi_797,51.186447,16.172908,169.1
21,parkingi - Legnica,parkingi_66,51.208446,16.185302,35.8
21,restauracja - Legnica,AM AM Kebab,51.209666,16.186915,181.9
22,parkingi - Legnica,parkingi_256,51.208378,16.214855,30.8
22,restauracja - Legnica,Świat Pierogów,51.207844,16.213745,66.9
23,parkingi - Legnica,parkingi_1062,51.212833,16.166039,38.0
23,restauracja - Legnica,Subway,51.212291,16.167316,144.8
24,parkingi - Legnica,parkingi_109,51.208713,16.192375,24.4
24,restauracja - Legnica,Ha-Noi,51.210059,16.192967,131.9
25,parkingi - Legnica,parkingi_736,51.202501,16.161844,60.7
25,restauracja - Legnica,Nogor Kebab,51.200607,16.159502,245.8
